model,split,samples,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc_macro_ovr,pr_auc_macro,inference_time_seconds,inference_latency_ms_per_sample,experiment,training_time_seconds
lightgbm,external,771274,0.5646385071971829,0.47063898312522945,0.49397143473751864,0.39810672130766506,0.4872149654492462,0.5646385071971829,0.44803510109561756,0.5572725285138906,0.5578543774562585,0.1,0.00012965560877197988,No Balancing,4.238916199996311
xgboost,external,771274,0.5676322552037278,0.4567930033813984,0.4940851833962815,0.38562752006588685,0.47557086022649886,0.5676322552037278,0.43836220758800704,0.5466718033699595,0.5610934608851533,0.1,0.00012965560877197988,No Balancing,8.46979100000317
catboost,external,771274,0.5878053713725602,0.5955353006335902,0.5161447746783098,0.42182027327250954,0.5942014204976813,0.5878053713725602,0.4706748366280297,0.5794342930710188,0.5928632526852745,0.1,0.00012965560877197988,No Balancing,10.278677400005108
decision_tree,external,771274,0.5526142460396695,0.4400970712874558,0.4842364056582526,0.39538264890450237,0.4606772404310289,0.5526142460396695,0.4440065022293216,0.4165200322722663,0.46582671089692435,0.1,0.00012965560877197988,No Balancing,8.644595100005972
logistic_regression,external,771274,0.5306194685675908,0.4433864775331883,0.4726203657592185,0.4164570109899338,0.46231151662263176,0.5306194685675908,0.4571610249902609,0.2696600637845263,0.3849440575269642,0.1,0.00012965560877197988,No Balancing,10.260306099997251
lightgbm,shuffled_test,59400,0.999983164983165,0.9999832011826367,0.9999831291966124,0.9999831649062076,0.9999831655487817,0.999983164983165,0.9999831649825589,1.0,0.9999999999999999,0.1,0.0016835016835016836,Random Shuffled Split,6.692062800000713
xgboost,shuffled_test,59400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.0016835016835016836,Random Shuffled Split,7.817710600000282
catboost,shuffled_test,59400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.0016835016835016836,Random Shuffled Split,10.954793600001722
decision_tree,shuffled_test,59400,0.9984680134680135,0.9984759161251424,0.9984647568917232,0.9984679930220621,0.9984726832199533,0.9984680134680135,0.9984680048939049,0.9991940769097158,0.9987104235157018,0.1,0.0016835016835016836,Random Shuffled Split,10.11558459999651
logistic_regression,shuffled_test,59400,0.9989393939393939,0.9989432538435481,0.9989373536513924,0.9989393838726849,0.9989412273938671,0.9989393939393939,0.9989393908038616,0.9990215160770413,0.9989951716839975,0.1,0.0016835016835016836,Random Shuffled Split,4.984148700001242
lightgbm,external,789228,0.5647316111440547,0.43986426089898367,0.4956095913952346,0.3725527003126717,0.458431663455261,0.5647316111440547,0.4223072142019956,0.6237948004955928,0.6127776975632413,0.1,0.00012670609760424113,No Rate Features,2.9179145000016433
xgboost,external,789228,0.5654728418150395,0.4495535034109248,0.4963454134670655,0.37347805063191253,0.46678524239415914,0.5654728418150395,0.423172040237175,0.6764429392806866,0.6485278954819816,0.1,0.00012670609760424113,No Rate Features,3.716369100002339
catboost,external,789228,0.5719931375977537,0.5402634141632667,0.5041482204039385,0.39044730751887347,0.5450580559414484,0.5719931375977537,0.4381112281090083,0.7308750385467233,0.7116999200336454,0.1,0.00012670609760424113,No Rate Features,7.4403023999984725
decision_tree,external,789228,0.5620935901919344,0.4283704298442084,0.493551664180432,0.3730776620791948,0.44843555784925276,0.5620935901919344,0.4224003879277923,0.4031280945169714,0.47075766017532594,0.1,0.00012670609760424113,No Rate Features,4.090537199997925
logistic_regression,external,789228,0.5758855489161561,0.550519750902984,0.527464066265359,0.48840216781584617,0.555835135065368,0.5758855489161561,0.518714414306978,0.370720513881687,0.4697552369789627,0.1,0.00012670609760424113,No Rate Features,2.1332634999998845
