model,split,samples,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc_macro_ovr,pr_auc_macro,inference_time_seconds,inference_latency_ms_per_sample,training_time_seconds
decision_tree,external,918437,0.7916612680020513,0.8252589434121624,0.7582857120986304,0.7670833467184334,0.8132560125639607,0.7916612680020513,0.7800220821329887,0.7580618185368364,0.7159695716737826,1.866329600001336,0.0020320714431162,9.040154599999369
lightgbm,external,918437,0.7471312675774169,0.7964789299733798,0.7037615426539205,0.7060191220327016,0.781851222490847,0.7471312675774169,0.724819370945668,0.7806492110249116,0.7956328956522218,2.843370000002324,0.0030958791947649,6.159665399994992
xgboost,external,918437,0.7516247712145743,0.8220129696526346,0.7047021980379157,0.7057362082803771,0.8025603054877257,0.7516247712145743,0.7256081190770065,0.7999554406354645,0.8142549930271612,2.4290276000028825,0.0026447405755679,10.666717599997355
catboost,external,918437,0.6941205548121429,0.6853349455429519,0.6729382548825904,0.6755989584494121,0.6902307116655784,0.6941205548121429,0.6888545561379094,0.7777320754134598,0.7902903541150348,2.2864132999966387,0.0024894612259704,10.3081697000016
logistic_regression,external,918437,0.4503422662632276,0.3294655350713793,0.3935542624961748,0.3460330117942737,0.3623944829899683,0.4503422662632276,0.3906970843785992,0.279337855306301,0.3896815884609718,2.3004994000002625,0.0025047982605233,5.257641999996849
catboost,internal_test,60002,0.9999666677777408,0.9999666699996668,0.9999666677777408,0.9999666677777036,0.9999666699996668,0.9999666677777408,0.9999666677777036,0.9999987411950328,0.999998758096162,0.1416313000008813,0.0023604429852485,10.3081697000016
lightgbm,internal_test,60002,0.9999500016666112,0.999950002222074,0.9999500016666112,0.9999500016665972,0.999950002222074,0.9999500016666112,0.9999500016665972,0.9999034808791598,0.9998917461959658,0.214327299996512,0.0035720025998552,6.159665399994992
logistic_regression,internal_test,60002,0.9998333388887036,0.9998333477740377,0.9998333388887036,0.999833338887963,0.9998333477740377,0.9998333388887036,0.999833338887963,0.9998999377820368,0.9995058498617136,0.1564712999970652,0.0026077680743486,5.257641999996849
xgboost,internal_test,60002,0.999816672777574,0.9998166866604454,0.999816672777574,0.999816672776301,0.9998166866604452,0.999816672777574,0.999816672776301,0.9997820634182366,0.9997503638202224,0.1593828999975812,0.0026562931235222,10.666717599997355
decision_tree,internal_test,60002,0.5026999100029999,0.718419011851398,0.502699910003,0.3396540914465406,0.718419011851398,0.5026999100029999,0.3396540914465406,0.5024514582333939,0.5018832417102286,0.1264236999995773,0.0021069914336118,9.040154599999369
xgboost,validation,29998,0.9998666577771852,0.999866693328001,0.9998666577771852,0.9998666577748144,0.999866693328001,0.9998666577771852,0.9998666577748144,1.0,1.0,0.0846175000042421,0.0028207713849003,10.666717599997355
catboost,validation,29998,0.9998333222214816,0.9998333777659292,0.9998333222214816,0.999833322216851,0.9998333777659292,0.9998333222214816,0.999833322216851,0.9999999866648888,0.9999999866663702,0.0746362999998382,0.0024880425361636,10.3081697000016
lightgbm,validation,29998,0.9997999866657776,0.999800066644452,0.9997999866657776,0.999799986657776,0.999800066644452,0.9997999866657776,0.999799986657776,1.0,1.0,0.2162398000000394,0.0072084738982611,6.159665399994992
logistic_regression,validation,29998,0.9997999866657776,0.999800066644452,0.9997999866657776,0.999799986657776,0.999800066644452,0.9997999866657776,0.999799986657776,0.9995999733315556,0.998351222085318,0.0658920999994734,0.0021965497699671,5.257641999996849
decision_tree,validation,29998,0.9945663044202948,0.9946232948206506,0.9945663044202946,0.9945661478984476,0.9946232948206506,0.9945663044202948,0.9945661478984476,0.9934609570455574,0.9908282124940304,0.0848639000032562,0.0028289852657929,9.040154599999369
