model,split,class_id,label,tp,tn,fp,fn,precision,recall,f1,fpr,fnr
logistic_regression_baseline,validation,0,Benign,14992,14999,0,7,1.0,0.999533302220148,0.9997665966456604,0.0,0.00046669777985199013
logistic_regression_baseline,validation,1,Attack,14999,14992,7,0,0.9995335199253632,1.0,0.9997667055490752,0.00046669777985199013,0.0
logistic_regression_baseline,internal_test,0,Benign,29998,30000,1,3,0.9999666655555185,0.9999000033332223,0.9999333333333333,3.333222225925803e-05,9.999666677777408e-05
logistic_regression_baseline,internal_test,1,Attack,30000,29998,3,1,0.9999000099990001,0.9999666677777408,0.9999333377774815,9.999666677777408e-05,3.333222225925803e-05
logistic_regression_baseline,external,0,Benign,365300,287792,92896,172449,0.7972570690272285,0.6793132111821686,0.7335746451862302,0.24402135081746731,0.32068678881783136
logistic_regression_baseline,external,1,Attack,287792,365300,172449,92896,0.6253071760229967,0.7559786491825327,0.684462065168403,0.32068678881783136,0.24402135081746731
random_forest,validation,0,Benign,14999,14897,102,0,0.9932454804317595,1.0,0.9966112956810631,0.006800453363557571,0.0
random_forest,validation,1,Attack,14897,14999,0,102,1.0,0.9931995466364424,0.9965881723307465,0.0,0.006800453363557571
random_forest,internal_test,0,Benign,30000,29676,325,1,0.989282769991756,0.9999666677777408,0.9945960282465273,0.010832972234258859,3.333222225925803e-05
random_forest,internal_test,1,Attack,29676,30000,1,325,0.9999663038716852,0.9891670277657412,0.9945373504474011,3.333222225925803e-05,0.010832972234258859
random_forest,external,0,Benign,534854,62440,318248,2895,0.6269519940171281,0.9946164474503905,0.7691032324814089,0.8359811709326272,0.005383552549609576
random_forest,external,1,Attack,62440,534854,2895,318248,0.9556899058697482,0.16401882906737275,0.27998556128271407,0.005383552549609576,0.8359811709326272
hist_gradient_boosting,validation,0,Benign,14991,14999,0,8,1.0,0.9994666311087406,0.9997332444148049,0.0,0.0005333688912594173
hist_gradient_boosting,validation,1,Attack,14999,14991,8,0,0.9994669154394615,1.0,0.9997333866560021,0.0005333688912594173,0.0
hist_gradient_boosting,internal_test,0,Benign,29998,29992,9,3,0.9997000699836704,0.9999000033332223,0.9998000266631116,0.0002999900003333222,9.999666677777408e-05
hist_gradient_boosting,internal_test,1,Attack,29992,29998,3,9,0.9998999833305551,0.9997000099996667,0.9997999866657777,9.999666677777408e-05,0.0002999900003333222
hist_gradient_boosting,external,0,Benign,513067,172236,208452,24682,0.7110928471738097,0.9541012628568347,0.8148654615220907,0.5475665111587442,0.04589873714316531
hist_gradient_boosting,external,1,Attack,172236,513067,24682,208452,0.8746584872891254,0.45243348884125584,0.5963788464801266,0.04589873714316531,0.5475665111587442
